A0W1EAR7,San Vicente,Costa Rica
RI2YBLRF,Yangkou,China
US16W2KA,Bang Kruai,Thailand
9F0GKESO,Bordeaux,France
0MC2K67A,Groblersdal,South Africa
U2G3E2YE,Kiyevskoye,Russia
72J24HTH,Outeiro,Portugal
XP1PJP9U,Gozdowo,Poland
OG7XN4XG,Fovissste,Mexico
7H6GK2KJ,Hugang,China
NTRYXVQB,Energeticheskiy,Kazakhstan
67MZZ2LL,Kema,Indonesia
7YOMUZGK,Lianhua,China
LARIR15U,Gangmian,China
ZAO21LP8,Zoumachang,China
S2ZIFK15,Huamali,Peru
UV13QSMZ,Kresna,Bulgaria
H50TGF5F,Liangshan,China
AWZPYSTL,Pailin,Cambodia
CG0PPDOH,Kaz,Russia
TV89IWTK,Wanying,China
OFI6BWR3,Ma’an,China
XE46EPVW,Chame,Panama
6VBGS00V,Changling,China
FQZQHJTB,Wangmang,China
FAB84XW2,La Unión,El Salvador
8TGQELLA,Dongkengkou,China
ILNISO8X,Zubūbah,Palestinian Territory
I4WAA4NX,Dasi,China
4O66KKKK,Charyshskoye,Russia
IP5I1J5L,Khisarya,Bulgaria
302HHGRO,Suvorov,Russia
X7VI496R,Zalţan,Libya
2CXC92TN,Taixi,China
ROPQVECY,Huashan,China
K00V3QJ6,Tsukuba,Japan
O0KGA2FR,Qimantage,China
KKQIMER8,Alegre,Brazil
6PNOBA6K,Padre Nabeto,Portugal
TMAP0L2P,Feliciano,Philippines
9IWE63VU,Abovyan,Armenia
20HWK93P,Lokwabe,Botswana
2NVBVN4Y,Bulembu,Swaziland
68VAQMLB,Xaçmaz,Azerbaijan
NC62G5RL,Baru,Indonesia
NXA74F53,Santa Elena,Argentina
EZCJ6O34,Estrela,Brazil
31OPW6IX,Serra,Portugal
IZUC4OM3,Maroa,Venezuela
DG0QINHY,Macha,China
QR49OA4J,Dingqing,China
F0NZ5XNF,Pouso Alegre,Brazil
LHO61BBF,Lerrnanist,Armenia
BHVWBFKJ,Yerazgavors,Armenia
6BXDUXUC,Zhongxiao,China
E1SCAZMM,Atescatempa,Guatemala
T5WG4XW4,Rodez,France
WLZIEHS1,Baishan,China
8QGXNL4D,Pregonero,Venezuela
SZER5P7G,Imsida,Malta
H1TZGE2M,Szydłowo,Poland
DML5DMEK,Fuling,China
I2NL4OH5,Gémeos,Portugal
M6N5WRJG,Kuafeu,Indonesia
FI8QQMZA,Vostochnyy,Russia
UVOM09CT,Nàng Mau,Vietnam
HEYRP4EY,Mahalapye,Botswana
I0X6BW2P,Edissiya,Russia
1NT96V0D,Soledar,Ukraine
N4BPHIZM,Leshan,China
07PGXG54,Nanterre,France
IA4ATXB4,Nanmen,China
POUC39H2,Pangkalan Kasai,Indonesia
TM3CLLBI,Kraczkowa,Poland
4USHSFR7,Bolhos,Portugal
TFPU6BCO,Buhe,China
K96TXE72,Ribas do Rio Pardo,Brazil
Q7CIQKAW,Rochester,United States
8J0XYVXK,Changting,China
W1BVRZF9,Muleba,Tanzania
XGGBA06L,Głuchów,Poland
12MGY1KE,Changmaoling,China
02XHPKZO,Dongsheng,China
W3KJFBE9,Antanhol,Portugal
6W72DY4P,Chenzhuang,China
FKRNEY0K,Caotan,China
Z28S7OXS,Shuiche,China
DKDPRRIL,Ikaalinen,Finland
MY7TPZAA,Yāsūf,Palestinian Territory
JVZ8UEHT,Itaguaí,Brazil
7GJOBRQ1,Gakovo,Serbia
TSUB4GNC,Bègles,France
SG2WYWP3,Béré,Chad
KAADY2CZ,Cagwait,Philippines
G3ZVKVQK,Nashtā Rūd,Iran
MLCLNHIX,Fengcheng,China
U3PUZQ20,Tolú,Colombia
MKA042BG,Tangxing,China
BW2WZD97,Paamiut,Greenland
DCM8MXBT,Kuytun,Russia
M2NDHB1A,Alfortville,France
L0O1NSPZ,Guanghou,China
L3E0EXDI,Jobabo,Cuba
6WT2QEU5,Jiufeng,China
ZIZ0SO09,Santa Nino,Philippines
ID96KITJ,Guarenas,Venezuela
Z94LEG4W,Dongying,China
418LSV8A,Coromandel,Brazil
69ED87Y3,Kanzaki,Japan
FCOWWJ3K,Puutuga,Indonesia
ZDXMNQH3,Khānaqāh,Afghanistan
R3Q6KSO7,Golem,Albania
WK0QDPK4,Sandaogou,China
I9OK9EH7,Águas Formosas,Brazil
ZKQL7NMN,Cuyotenango,Guatemala
4IMS0LUE,Salitrillos,Costa Rica
JGHUWA59,Chicacao,Guatemala
J68VSCJ5,Yong’an,China
4K0Y0WQB,Toyós,Honduras
LBB01Q25,Luocheng,China
RXUTDM2M,Fengshan,China
GUJQN2H5,Thongwa,Myanmar
FV89FPLF,Magisterial,Mexico
UGH6QI02,Finspång,Sweden
7QZCT4NM,Guaíba,Brazil
27L8BA2S,Capiíbary,Paraguay
6185ZZ8Q,Bafoussam,Cameroon
2PCD5JF9,Mahābād,Iran
56SERQIZ,Turpo,Peru
CBO66HYH,Wako,Japan
ZWGWRTHB,Willemstad,Curacao
NFDSDP4B,Ferapontovo,Russia
BVBKH1UV,Dazhan,China
PJOCADXZ,Skołyszyn,Poland
BL784KYC,Savannah,United States
7A9GLAUL,El Quebrachal,Argentina
LATIND5N,Shimo-furano,Japan
XXWJLU0R,Karlskoga,Sweden
LO4GI5DL,Maiyema,Nigeria
GWO81WTL,Taipei,Taiwan
1OTJZ2T5,Zongluzui,China
NS2I751C,Maopingchang,China
FECMSAXL,Ouyang,China
KEM4G6OF,Qümong,China
V837L688,Lallayug,Philippines
68ORX5XH,Brämhult,Sweden
0W8QIET9,Dolní Rychnov,Czech Republic
9SGLTOUV,Mangxing,China
IBWJ4GX8,Bandhagen,Sweden
BZ0W715R,Pogwizdów,Poland
EX2PKDW3,Mulanje,Malawi
60RTUNJB,Conceição do Coité,Brazil
UUIXK2IT,Lilio,Philippines
WMCXT3KP,San Marcos,Honduras
ZPSJ6S73,Esch-sur-Alzette,Luxembourg
3POYL8DH,Sinop,Brazil
1GOVOZ8Y,Quinocay,Peru
6Z21N6W8,Pende,Indonesia
T6BX6OY5,Cutral-Có,Argentina
3I2U6E5O,Longyuanba,China
EWC60ZEV,Hanzhong,China
SQSMO9AE,Aguitu,China
3QR7FV59,Mashtūl as Sūq,Egypt
SY5KE5WY,Oyonnax,France
F1K29VKU,Shahr-e Şafā,Afghanistan
ZU70LYWN,Limoeiro do Ajuru,Brazil
1ECUTYZ2,Jakartovice,Czech Republic
ADF5Z01W,Vihāri,Pakistan
3WCC013H,Laau,Indonesia
1ESMHI48,Moulay Bouchta,Morocco
VJ45QS31,Usab,Philippines
BJLFTQDB,Krajanjugosari,Indonesia
GXE3SCYE,Qumudi,China
998JOXDF,Ambatondrazaka,Madagascar
GREFTXAS,Shanhe,China
SJJ6WP4L,Novyy Svit,Ukraine
SQQ72GCQ,Xinxing,China
H1U3Q1OS,Umm Ruwaba,Sudan
GEYK2X8A,Šardice,Czech Republic
RWY4QDOE,Kaolack,Senegal
KFV12ZQ8,Mamboma,Sierra Leone
T96DTAQL,Lymanske,Ukraine
V0FM29C4,Murygino,Russia
8WJE8GES,Eybens,France
OT0FIG9J,Rudnik,Poland
W3J01VUE,Sumber,Indonesia
S5UQYTGN,Obroshyne,Ukraine
06A6BYMP,Hậu Nghĩa,Vietnam
ZH9LWXTS,Guararapes,Brazil
BM5KKSY0,Šuto Orizare,Macedonia
6Q00QM6P,Tomilino,Russia
L32FAMA8,Roissy Charles-de-Gaulle,France
3TBRBS3C,Peraía,Greece
2ZLTDT9Y,Jicomé,Dominican Republic
4BUAB9UM,Łubowo,Poland
IH5JTWM8,Ufimskiy,Russia
5LHPCBZT,Huanggong,China
MUZ7XVDP,Champerico,Guatemala
TXKMLICX,Panghadangan,Indonesia
HSOZEY8R,Camgyai,China
AJWM65FX,Tsushima,Japan
9L5WJIT7,Grahamstown,South Africa
W5TC2GIF,Yanguan,China
5MSK5W2O,Koper,Slovenia
BROGJ6EA,Bilhorod-Dnistrovs’kyy,Ukraine
PABD1VIF,Feteira Pequena,Portugal
OL1IS7O2,Bilo,Indonesia
1O7HM9Z2,Miłakowo,Poland
WWYSVDSC,Colonia Wanda,Argentina
XSOLILGF,Rungis,France
1ZVSZBK6,Saint-Julien-en-Genevois,France
BAHKAUF0,Dayton,United States
YM0QONY2,Helsingborg,Sweden
Q1XRJKX8,Sumberejo,Indonesia
VIZ2CMLU,Kanungu,Uganda
DJP5G6L5,Washington,United States
YJ0COKXI,Tāklisah,Tunisia
2AWGRRQ3,Saint-Jean-de-Monts,France
HMNKDFI7,Tongliao,China
67DZB7LF,Ziyang Chengguanzhen,China
QY2LAB7K,Thabazimbi,South Africa
G5CH3PSM,Pomacocha,Peru
VAT77T8N,Hrabyně,Czech Republic
SC1A6LXN,Gedangan,Indonesia
8N6NDDAX,Campamento,Honduras
CLR04M9A,Lago dos Rodrigues,Brazil
QKAWNL9A,Primorsko,Bulgaria
YN8GB17Q,Rumelange,Luxembourg
4PIBRGJI,Morro do Chapéu,Brazil
88OBYIXJ,Hancheng,China
KAOOZHX2,Punta Cana,Dominican Republic
GDO9W3R6,Ojrzeń,Poland
GECDOGDP,Yuejin,China
18PAWSW5,Patapan,Indonesia
CYYATQYX,Hongmiao,China
BG9P5YE4,Helvecia,Argentina
1333J78Z,Nelson,Canada
XN09NGXV,Montijo,Portugal
6UWTGMJQ,Florida,Honduras
4MIZ45NM,Jiusi,China
CBS20DJ2,Gondar,Portugal
UUDPWTIK,Coruripe,Brazil
DV6C4DWZ,Hörby,Sweden
JJIVWYF8,Sena,Thailand
98CVMMZF,Nōgata,Japan
3IU4ZFVP,Erátyra,Greece
LL6Q74XB,Verd,Slovenia
5BVSC1WP,Kagadi,Uganda
DG5Q7PVB,Sanlifan,China
ZEIPJPW2,Lapuz,Philippines
K0PI1700,Andongrejo,Indonesia
A2T3CQ5E,Scarborough,Trinidad and Tobago
U8TK5TKN,Jovellar,Philippines
5F7WUAZK,Messina,South Africa
YNBU00UE,Kola,Russia
ZUIF59AX,La Gi,Vietnam
EDUQACQO,Telaga,Indonesia
TL8KGX3I,Chencun,China
G8U884GV,Xiashihao,China
X67QVRRX,Werangere,Indonesia
HYLMA408,Yangying,China
SZAUDC18,Bohicon,Benin
FLGHKZMQ,Svetlyy Yar,Russia
1ONRF8RO,Korogan Timur,Indonesia
THM2F5JN,Pasadena,Canada
RGEFKKS4,Górki,Poland
44HOA6Y4,Chanthaburi,Thailand
3AFHIKQY,Valuyki,Russia
REOWFMAN,Khemarat,Thailand
1ADWEQHY,Piedra del Águila,Argentina
1IMSXVNT,Köping,Sweden
2P3CWMPM,Blimbing,Indonesia
YHG3VZ1O,Knysna,South Africa
GB4M4MVL,Magan,Russia
EMMX355U,Longmen,China
YCQJB1E8,Las Junturas,Argentina
AZHTW573,Caijiang,China
7O8WRNS7,Umbanyar,Indonesia
U4PGE2ST,Zuyevka,Russia
YL0R4JWF,Harstad,Norway
LRFGP52S,Markham,Canada
3L48E0UP,Pak Phayun,Thailand
7X3J2JXU,Altavista,Mexico
X7NV0LIM,Aş Şanamayn,Syria
U6PWCT60,Santo Tomas,Philippines
W8P7L2YC,Sapang Buho,Philippines
3ZJR4GFF,Cumanayagua,Cuba
BFIBP95M,Sorol,Micronesia
NY6DGMCN,Zehak,Iran
XC1JXV0L,Santo Antônio de Pádua,Brazil
EEZ67PRY,Lakkíon,Greece
UE8HHAB5,Shuitou,China
ZF0GL8YD,Ubud,Indonesia
74OQLKUU,Chuanbu,China
AVII702Y,Iset’,Russia
R4SIJ2LR,Basar,China
ZYTUEC3S,Trzin,Slovenia
4RH4I00C,Karanggedang,Indonesia
REKV556M,Minneapolis,United States
GT7VE8BP,Lupo,Philippines
2OZF3RRD,Fradelos,Portugal
J1A758LP,Swords,Ireland
9W8GJC0H,Leiling,China
RDM9HOL8,Manhete,Portugal
G3F3HZAR,Aktogay,Kazakhstan
HL2NQIK1,Beishidian,China
D7OJ4LY4,Qizhen,China
1O4I6KMK,Sabana Grande de Boyá,Dominican Republic
N1K0Z001,Uitenhage,South Africa
05AWDA46,Duqu,China
ZN6AFV3T,Yunmeng Chengguanzhen,China
CAI3ZMX3,Mamasa,Indonesia
G4973OZ9,Gulrip’shi,Georgia
ZCXNP3U4,Binangun,Indonesia
O2HTGIER,Mosteiros,Portugal
RUX33YTV,Jinrongjie,China
F5MW4SBX,Rongxing,China
A6DZS17L,Qingban,China
S99SGU7M,Reading,United States
XB1FMS4B,Donostia-San Sebastian,Spain
O9CY0O87,Nekla,Poland
1C9E0BXB,Vicuña Mackenna,Argentina
2SRCTKVD,Makata,Malawi
AUQIVBGD,Kubangkondanglapangan,Indonesia
JNQI65KF,Kolape,Philippines
JRKSPZOE,Xianghuaqiao,China
F9VCS0TD,Kakogawachō-honmachi,Japan
B3RVMLCF,Osvaldo Cruz,Brazil
W3IMM687,Valparaíso,Brazil
1Q816QFS,Río Pico,Argentina
8KPQE2N1,Pajeksan,Indonesia
8RU11M5P,Banghai,China
AXADVWT8,Volodymyrets’,Ukraine
5GBC0IVL,Kaeng Khoi,Thailand
95WRQBY0,Chaoyangdong,China
94MJTPLB,Nabeul,Tunisia
HQN8RGPT,Tulsa,United States
9HXW1HCR,El Charco,Colombia
5J1KG36M,Wiphawadi,Thailand
4DBX0OMH,Bela Vista,Brazil
S2W35BWW,Póvoa de Penela,Portugal
1W3CBART,Tramandaí,Brazil
MOL00VEC,Ngurenrejo,Indonesia
JZZFPHB5,Mayantoc,Philippines
2RHTR4L2,Real,Portugal
WNI8RP9A,Saint Paul,United States
3OZJ2Q8D,Miasteczko Śląskie,Poland
NW0TDGSO,Wutun,China
OBSNL5SG,Lapuyan,Philippines
L3ISASOV,Manicahan,Philippines
S09GP2Q1,Khanabad,Afghanistan
VGMHO9LK,Kyela,Tanzania
5LOUB9NN,Vigan,Philippines
XFTO8X9C,Lauro de Freitas,Brazil
R0Q3838A,Atlantis,South Africa
2SHEU7RG,Aston,United Kingdom
H1V6XNLE,Tessalit,Mali
52NF7YE1,Setanggor,Indonesia
